Time,Temperature (°C),Humidity (%)
2025-04-21 01:26:54,30.80,90.00
2025-04-21 01:26:56,30.80,90.00
2025-04-21 01:26:58,30.80,90.00
2025-04-21 01:27:01,30.80,90.00
2025-04-21 01:27:03,30.80,90.00
2025-04-21 01:27:05,30.80,91.00
2025-04-21 01:27:07,30.80,91.00
2025-04-21 01:27:09,30.80,91.00
2025-04-21 01:27:11,30.80,91.00
2025-04-21 01:27:13,30.80,91.00
2025-04-21 01:27:15,30.80,91.00
2025-04-21 01:27:17,30.80,91.00
2025-04-21 01:27:19,30.80,91.00
2025-04-21 01:27:21,30.80,91.00
2025-04-21 01:27:23,30.80,91.00
2025-04-21 01:27:25,30.80,91.00
2025-04-21 01:27:27,30.80,91.00
2025-04-21 01:27:29,30.80,91.00
2025-04-21 01:27:31,30.80,91.00
2025-04-21 01:27:33,30.80,91.00
2025-04-21 01:27:35,30.80,91.00
2025-04-21 01:27:37,30.80,91.00
2025-04-21 01:27:39,30.80,91.00
2025-04-21 01:27:41,30.80,91.00
2025-04-21 01:27:43,30.80,91.00
2025-04-21 01:27:45,30.80,91.00
2025-04-21 01:27:47,30.80,91.00
2025-04-21 01:27:49,30.80,91.00
2025-04-21 01:27:51,30.80,91.00
2025-04-21 01:27:53,30.80,91.00
2025-04-21 01:27:55,30.80,91.00
2025-04-21 01:27:57,30.80,91.00
2025-04-21 01:27:59,30.80,91.00
2025-04-21 01:28:01,30.80,91.00
2025-04-21 01:28:03,30.80,91.00
2025-04-21 01:28:05,30.80,91.00
2025-04-21 01:28:07,30.80,91.00
2025-04-21 01:28:09,30.80,91.00
2025-04-21 01:28:11,30.80,91.00
2025-04-21 01:28:13,30.80,91.00
2025-04-21 01:28:15,30.80,91.00
2025-04-21 01:28:17,30.80,91.00
2025-04-21 01:28:19,30.80,91.00
2025-04-21 01:28:22,30.80,91.00
2025-04-21 01:28:24,30.80,91.00
2025-04-21 01:28:26,30.80,91.00
2025-04-21 01:28:28,30.80,91.00
2025-04-21 01:28:30,30.80,91.00
2025-04-21 01:28:32,30.80,91.00
2025-04-21 01:28:34,30.80,91.00
2025-04-21 01:28:36,30.80,91.00
2025-04-21 01:28:38,30.80,91.00
2025-04-21 01:28:40,30.80,91.00
2025-04-21 01:28:42,30.80,91.00
2025-04-21 01:28:44,30.80,91.00
2025-04-21 01:28:46,30.80,91.00
2025-04-21 01:28:48,30.80,91.00
2025-04-21 01:28:50,30.80,91.00
2025-04-21 01:28:52,30.80,91.00
2025-04-21 01:28:54,30.80,91.00
2025-04-21 01:28:56,30.80,91.00
2025-04-21 01:28:58,30.80,91.00
2025-04-21 01:29:00,30.80,91.00
2025-04-21 01:29:02,30.80,91.00
2025-04-21 01:29:04,30.80,91.00
2025-04-21 01:29:06,30.80,91.00
2025-04-21 01:29:08,30.80,91.00
2025-04-21 01:29:10,30.80,91.00
2025-04-21 01:29:12,30.80,91.00
2025-04-21 01:29:14,30.80,91.00
2025-04-21 01:29:16,30.80,91.00
2025-04-21 01:29:18,30.80,91.00
2025-04-21 01:29:20,30.80,91.00
2025-04-21 01:29:22,30.80,91.00
2025-04-21 01:29:24,30.80,91.00
2025-04-21 01:29:26,30.80,91.00
2025-04-21 01:29:28,30.80,91.00
2025-04-21 01:29:30,30.80,91.00
2025-04-21 01:29:32,30.80,91.00
2025-04-21 01:29:34,30.80,91.00
2025-04-21 01:29:36,30.80,91.00
2025-04-21 01:29:38,30.80,91.00
2025-04-21 01:29:40,30.80,91.00
2025-04-21 01:29:43,30.80,91.00
2025-04-21 01:29:45,30.80,91.00
2025-04-21 01:29:47,30.80,91.00
2025-04-21 01:29:49,30.80,91.00
2025-04-21 01:29:51,30.80,91.00
2025-04-21 01:29:53,30.80,91.00
